PRICE,YEAR,MILEAGE,CITY,STATE,MAKE,Predicted PRICE,,MODEL
39995,2015,25885,841,10,8,31796.00556,,3032
17595,2009,66729,247,9,8,19029.46447,,3032
35646,2017,3767,77,10,8,37435.30903,,3032
37995,2015,58246,704,32,8,26463.05102,,3031
16995,2011,41395,353,9,8,25191.75528,,3029
38977,2017,6336,335,9,8,37020.82149,,3029
21999,2014,26422,245,9,8,30690.57884,,3029
17377,2009,117581,438,28,8,10699.38643,,3029
33995,2015,21913,589,2,8,32467.66401,,3029
17225,2015,32898,26,14,8,30642.7975,,3029
35990,2013,29017,158,9,8,29247.26089,,3028
9991,2009,71770,434,21,8,18171.19468,,3028
39900,2014,33337,310,19,8,29533.9775,,3028
23500,2013,30588,585,36,8,28904.9339,,3028
15495,2011,81661,135,13,8,18631.29004,,3028
39994,2016,14210,101,2,8,34741.61284,,3028
25971,2015,33512,129,10,8,30555.83748,,3028
28990,2014,26914,328,17,8,30584.84889,,3028
24977,2014,30188,1796,1,8,30103.94511,,3028
26980,2014,37035,388,28,8,28903.69378,,3028
17548,2013,78014,387,2,8,21302.43616,,3028
22430,2014,68346,372,17,8,23847.63871,,3028
20980,2009,80430,81,19,8,16769.43668,,3028
11799,2008,69599,1234,33,8,17464.24992,,3028
21700,2013,48379,56,13,8,26085.95879,,3028
32995,2016,17678,28,17,8,34129.42506,,3028
33890,2015,19794,363,17,8,32763.98433,,3028
25987,2015,46551,1814,19,8,28406.62443,,3028
15795,2014,44984,650,38,8,27578.94246,,3028
10375,2007,111008,223,21,8,9748.027573,,3028
40988,2015,18189,29,16,8,33028.1889,,3028
52900,2017,9314,424,5,8,36549.45413,,3028
33495,2017,5186,395,11,8,37201.39939,,3028
12900,2007,101922,317,21,8,11225.49165,,3028
19907,2015,23664,99,28,8,32099.29719,,3028
19693,2017,30189,116,9,8,33142.12483,,3028
14451,2015,31239,509,9,8,30928.66477,,3028
17000,2012,46289,248,18,8,25388.36417,,3028
13995,2013,101960,101,36,8,17299.21452,,3028
24350,2013,52125,78,5,8,25502.57724,,3027
18250,2016,3713,427,17,8,36400.27017,,3027
22589,2007,72317,61,24,8,16029.89967,,3026
41100,2015,60694,197,17,8,26113.3069,,3026
9999,2008,117171,31,2,8,9828.384074,,3026
17200,2012,92560,339,9,8,17893.27072,,3026
38750,2014,46643,92,9,8,27402.50239,,3026
40995,2015,26228,71,10,8,31740.30524,,3026
10995,2008,74761,321,39,8,16605.58373,,3026
7999,2010,156883,81,33,8,5313.843995,,3026
38190,2014,41382,388,1,8,28283.7264,,3026
42975,2017,14171,302,11,8,35740.38364,,3026
6994,2005,135235,220,24,8,3756.154811,,3026
17400,2011,88870,688,1,8,17497.67584,,3026
3750,1997,75845,302,38,8,5197.568916,,3026
7980,2009,39227,1348,27,8,23443.69546,,3026
19470,2014,46101,223,16,8,27468.11493,,3026
35999,2014,53570,136,18,8,26247.16709,,3025
32500,2014,32226,68,5,8,29759.71611,,3025
19865,2015,33142,555,41,8,30516.30214,,3025
37900,2017,7925,197,35,8,36678.83456,,3025
6478,2005,127323,58,1,8,5116.727588,,3025
19999,2014,17360,1898,17,8,32138.46359,,3024
17998,2014,54140,199,9,8,26183.44862,,3024
20995,2014,20995,321,14,8,31557.03245,,3024
12995,2011,83619,417,1,8,18351.55979,,3024
14995,2011,87055,632,1,8,17792.83575,,3024
41880,2013,36068,447,2,8,28123.27698,,3024
32988,2013,66357,1104,17,8,23149.75702,,3024
46988,2017,10503,1593,14,8,36327.20572,,3024
32995,2014,38164,926,3,8,28800.59184,,3024
30975,2015,29839,502,3,8,31175.67095,,3024
27300,2014,35938,182,16,8,29120.73359,,3024
23950,2014,35910,182,17,8,29122.06929,,3024
37993,2014,15615,633,25,8,32396.47724,,3024
38387,2015,24084,373,5,8,32105.05023,,3024
40999,2014,25389,388,18,8,30829.65973,,3024
16595,2015,14166,56,3,8,33724.23958,,3024
8495,2006,98481,380,19,8,10770.15273,,3024
19770,2012,60811,307,12,8,23046.31212,,3024
17500,2011,84800,619,5,8,18146.64932,,3024
32897,2014,51240,491,19,8,26622.8408,,3024
36888,2017,6851,370,5,8,36950.00943,,3024
29998,2015,39054,1401,1,8,29683.66504,,3024
13385,2012,41400,628,10,8,26209.14736,,3024
14499,2016,18046,151,3,8,34114.67759,,3024
13981,2015,45447,555,25,8,28566.89018,,3024
19995,2014,43222,383,2,8,27981.33359,,3024
23500,2014,67604,93,31,8,23923.31366,,3023
21883,2015,16851,422,14,8,33252.26877,,3022
15490,2014,30033,357,9,8,30103.48519,,3022
23000,2007,83195,330,17,8,14283.61165,,3022
31874,2014,59018,27,9,8,25390.26746,,3022
16559,2013,78324,847,19,8,21197.40696,,3022
27750,2014,62158,340,22,8,24837.85008,,3022
34484,2014,25210,72,5,8,30900.61711,,3022
16915,2008,58449,29,17,8,19328.89082,,3022
15300,2010,73317,247,29,8,18915.33487,,3022
29451,2015,8803,40,19,8,34544.8581,,3022
26490,2015,41415,232,9,8,29274.03155,,3022
26995,2014,22847,383,28,8,31210.86277,,3022
30989,2015,34814,356,1,8,30373.15143,,3022
7499,2008,111654,22,22,8,10661.1998,,3022
11995,2011,81650,1855,23,8,18600.97974,,3022
14900,2008,49058,610,1,8,20907.42822,,3022
11950,2008,60353,114,18,8,19016.0662,,3022
33950,2013,25226,172,3,8,29883.0897,,3022
27900,2013,51285,499,1,8,25652.10018,,3022
20900,2011,39677,437,28,8,25410.07456,,3022
15995,2011,78968,278,9,8,19082.13961,,3022
22499,2012,61381,372,11,8,22956.86727,,3022
50995,2015,22435,299,5,8,32373.21707,,3022
15854,2011,69564,366,1,8,20637.05212,,3022
21980,2011,84884,1547,1,8,18145.88442,,3022
44494,2017,4803,630,22,8,37228.36224,,3022
37988,2017,12107,43,24,8,36034.23244,,3022
35888,2017,4325,1078,14,8,37331.82808,,3022
25995,2014,49504,22,1,8,26963.06693,,3022
30993,2014,44160,104,9,8,27806.30986,,3022
26995,2014,52464,158,44,8,26343.39862,,3022
46995,2016,9438,167,18,8,35466.17921,,3022
30991,2014,25418,240,29,8,30789.57804,,3022
26990,2014,33982,110,1,8,29487.08162,,3022
27490,2014,37982,569,2,8,28833.42884,,3022
25190,2014,44507,1841,1,8,27775.6234,,3022
22491,2014,33548,362,38,8,29438.61187,,3022
23888,2014,40981,247,14,8,28307.15666,,3022
22907,2014,46289,691,28,8,27398.98593,,3022
23578,2014,43372,128,17,8,27908.70683,,3022
23000,2014,34666,81,9,8,29350.11835,,3022
21888,2014,38097,52,1,8,28817.94617,,3022
20334,2014,35671,81,17,8,29160.95764,,3022
33304,2014,25804,178,35,8,30707.50692,,3022
29345,2014,32318,201,28,8,29670.79428,,3022
23500,2013,46199,120,16,8,26430.86856,,3022
62995,2015,31252,531,5,8,30939.49478,,3022
32999,2015,34130,561,29,8,30394.29006,,3022
25995,2014,26241,235,2,8,30742.61944,,3022
23900,2013,80716,607,5,8,20853.48949,,3022
34000,2017,5830,893,3,8,37122.49261,,3022
32397,2017,6366,542,9,8,37016.03016,,3022
9995,2009,106609,59,19,8,12512.57391,,3022
14500,2011,87830,510,10,8,17637.88257,,3022
25990,2014,40226,633,9,8,28446.01311,,3022
34778,2015,23649,48,21,8,32124.3323,,3022
15999,2009,68080,277,1,8,18835.64291,,3022
8788,2007,72008,147,11,8,16122.02105,,3022
7989,2007,92301,1234,14,8,12812.54745,,3022
21490,2014,35482,392,31,8,29146.6478,,3022
32000,2015,14057,331,9,8,33722.68468,,3022
13970,2012,77703,420,11,8,20302.76549,,3022
18995,2010,46927,61,5,8,23283.79904,,3022
31477,2013,27092,1214,2,8,29582.87892,,3022
10991,2011,153478,63,21,8,6927.545425,,3022
51999,2017,2688,301,3,8,37633.40964,,3022
23918,2011,97505,169,22,8,16026.03366,,3022
12950,2010,52817,331,17,8,22287.42466,,3022
5456,2007,135314,106,24,8,5786.079146,,3022
18900,2015,54048,553,32,8,27145.79478,,3022
21788,2016,37273,174,1,8,30994.65663,,3022
40992,2015,33181,233,20,8,30577.56202,,3022
26277,2013,65756,181,3,8,23292.5527,,3022
34499,2015,29096,336,9,8,31277.21007,,3022
17351,2010,88367,40,5,8,16545.28799,,3022
27991,2015,49811,251,2,8,27931.28904,,3022
15930,2013,129156,645,19,8,12931.67352,,3022
20997,2012,59896,135,10,8,23201.55877,,3022
27790,2014,39355,424,42,8,28481.47283,,3022
17477,2012,91743,63,4,8,18042.25859,,3022
23891,2013,65765,617,28,8,23210.65544,,3022
32750,2017,7377,99,10,8,36848.41525,,3022
37783,2015,26258,201,1,8,31764.43282,,3022
33329,2013,46357,53,34,8,26347.26404,,3022
17400,2010,49878,168,31,8,22720.28917,,3022
38488,2017,8222,176,1,8,36739.96693,,3022
11479,2008,86152,81,1,8,14875.61525,,3022
63988,2010,28790,60,1,8,26245.9053,,3022
19999,2017,9016,172,17,8,36559.37787,,3022
17944,2015,27490,247,17,8,31512.62108,,3022
14895,2009,95877,178,42,8,14183.6931,,3022
8000,2002,172327,339,32,8,-5365.103198,,3022
13995,2012,42600,288,5,8,26030.12833,,3022
11000,2012,93661,39,32,8,17640.28897,,3022
8999,2008,85390,300,9,8,14973.78439,,3022
8495,2004,128393,75,5,8,3908.543586,,3022
25907,2012,72465,63,6,8,21170.59744,,3022
16549,2012,97229,59,5,8,17146.96905,,3022
25446,2014,42066,418,9,8,28146.81281,,3022
25596,2014,28461,954,9,8,30359.10631,,3022
39990,2017,15480,185,19,8,35501.83952,,3022
41900,2015,17530,247,17,8,33132.20531,,3022
47850,2014,25526,395,19,8,30804.1898,,3022
36000,2014,24802,1634,1,8,30979.83093,,3022
36998,2014,48063,109,2,8,27194.16895,,3022
38990,2014,7337,237,42,8,33687.88323,,3022
36984,2016,36166,135,1,8,31174.66463,,3022
12999,2009,79350,29,9,8,16977.30227,,3022
10913,2008,109750,315,21,8,10974.02441,,3022
33798,2015,45408,335,2,8,28647.25584,,3022
27770,2015,30719,67,35,8,30929.64476,,3022
36420,2017,4614,371,33,8,37223.70445,,3022
22740,2015,45663,21,26,8,28528.57416,,3022
38771,2018,515,92,19,8,38956.64145,,3022
12997,2007,117552,335,19,8,8690.424429,,3022
17375,2010,83213,185,14,8,17354.41788,,3022
19934,2012,54313,29,17,8,24086.88256,,3022
40995,2016,22017,132,9,8,33449.67855,,3022
27712,2014,67007,21,2,8,24113.70675,,3022
30490,2015,52001,61,10,8,27549.43684,,3022
31997,2014,44349,773,3,8,27794.88089,,3022
40991,2016,17415,92,5,8,34210.87392,,3022
38888,2016,22276,400,9,8,33407.56285,,3022
34995,2015,40492,335,20,8,29388.72867,,3022
35650,2015,31615,372,22,8,30825.77279,,3022
6999,2006,103590,94,24,8,9923.322164,,3022
23999,2012,89029,137,2,8,18490.01373,,3022
21995,2012,58547,171,18,8,23395.17931,,3022
13000,2008,135008,170,28,8,6844.32843,,3022
4978,2007,101329,51,5,8,11373.47084,,3022
13199,2012,45105,224,9,8,25609.92373,,3022
22000,2016,21033,1180,5,8,33622.55507,,3022
16500,2014,11206,621,5,8,33177.79156,,3022
17995,2017,18509,53,1,8,35067.20961,,3022
19960,2013,50108,59,1,8,25843.49081,,3022
12988,2011,70811,301,9,8,20408.54006,,3022
15985,2013,59581,508,21,8,24238.75008,,3022
22800,2016,34010,528,17,8,31473.77171,,3022
13999,2013,58385,483,1,8,24497.57729,,3022
18850,2015,30362,417,1,8,31097.08606,,3022
17999,2015,36309,592,9,8,30104.31238,,3022
15890,2015,38772,324,14,8,29687.72001,,3022
26999,2015,24482,557,5,8,32040.35674,,3022
19490,2015,66180,220,28,8,25185.89352,,3022
29300,2016,3310,550,5,8,36504.47185,,3022
13000,2011,128205,339,22,8,11033.94173,,3022
12989,2010,99259,322,14,8,14745.19615,,3022
14995,2008,71133,314,5,8,17304.96828,,3022
20587,2014,41670,296,5,8,28224.07532,,3022
185995,2017,75,392,1,8,38064.74129,,3022
22991,2017,7719,243,1,8,36821.75918,,3022
25495,2014,41368,1421,3,8,28279.63032,,3021
13995,2011,72283,176,9,8,20169.19224,,3021
10891,2011,119871,32,7,8,12437.39664,,3021
16987,2012,129736,247,28,8,11787.05626,,3021
39590,2017,8027,182,18,8,36716.9931,,3021
20295,2014,35941,185,17,8,29117.06567,,3021
17511,2012,43077,283,5,8,25952.57632,,3021
7495,2004,152410,357,31,8,-80.4720555,,3021
10994,2010,94486,314,33,8,15460.21098,,3021
24995,2015,41000,440,17,8,29315.78784,,3021
9999,2013,171510,48,2,8,6099.245354,,3021
19995,2013,50407,247,3,8,25788.44848,,3021
21987,2013,90916,139,9,8,19182.02216,,3021
20497,2015,16879,359,14,8,33247.72814,,3021
14492,2012,59790,222,17,8,23196.28627,,3021
38747,2017,13011,416,9,8,35935.50672,,3021
17591,2012,64252,268,3,8,22515.76846,,3021
41591,2014,25461,296,12,8,30837.29325,,3021
39984,2016,10608,199,1,8,35330.63423,,3021
15999,2013,55737,391,14,8,24886.3524,,3021
6900,2007,94156,71,9,8,12527.00719,,3021
21888,2016,41164,589,22,8,30294.39361,,3021
69995,2000,35917,176,18,8,14818.70564,,3021
63522,2016,7504,333,12,8,35799.99368,,3020
20450,2015,7095,589,1,8,34880.53119,,3020
32999,2014,63261,229,3,8,24719.64702,,3020
22900,2013,50647,331,2,8,25752.65212,,3020
11950,2009,40200,585,18,8,23314.50772,,3020
12995,2008,96251,32,9,8,13207.71443,,3020
34488,2012,30352,1837,19,8,27976.74354,,3020
15900,2011,74168,511,3,8,19881.99107,,3020
22995,2014,69495,441,3,8,23705.9434,,3020
27800,2014,37321,95,5,8,28931.28608,,3020
15964,2010,76570,64,19,8,18418.5666,,3020
13250,2012,104276,212,14,8,15972.13311,,3020
34500,2016,20951,329,4,8,33639.13119,,3020
39995,2015,31572,301,10,8,30871.39803,,3020
40591,2015,24177,40,9,8,32077.10788,,3020
65991,2018,1287,1146,5,8,38876.17517,,3020
11999,2004,73940,207,22,8,12708.41357,,3020
19990,2011,84264,315,1,8,18246.72675,,3020
18297,2015,19993,254,24,8,32709.20307,,3020
26000,2017,3100,298,10,8,37543.91817,,3020
5995,2006,151665,585,18,8,2125.230285,,3020
14987,2011,59730,229,5,8,22223.30306,,3020
18891,2014,26055,129,3,8,30769.67217,,3020
30495,2011,80414,335,1,8,18872.77085,,3020
36495,2017,14236,71,1,8,35762.0621,,3020
47200,2017,5,614,1,8,38076.14875,,3020
25900,2014,81802,436,35,8,21601.76095,,3020
6950,2005,132185,329,29,8,4236.099588,,3020
7995,2005,117990,58,6,8,6618.331397,,3020
12894,2011,70718,202,35,8,20340.0364,,3020
14129,2009,98268,23,5,8,13913.96215,,3020
15995,2013,85746,360,29,8,19958.37535,,3020
3495,2003,172717,435,22,8,-4374.961924,,3020
20495,2014,15829,202,9,8,32413.21866,,3019
31774,2016,7990,218,14,8,35714.5435,,3019
18950,2014,25359,176,28,8,30802.42658,,3019
11995,2008,104070,205,3,8,11955.5923,,3019
6998,2005,108838,185,9,8,8096.888027,,3019
38869,2017,3391,400,19,8,37467.65525,,3019
39900,2017,4997,1930,25,8,37187.20132,,3019
17960,2005,139953,1832,18,8,3008.357265,,3019
51976,2015,24855,1433,3,8,31986.1756,,3019
42995,2014,30544,176,16,8,29997.90786,,3019
52648,2015,30333,320,32,8,31002.10109,,3019
51444,2015,23659,166,1,8,32187.09049,,3019
16785,2008,63325,628,28,8,18500.65642,,3019
13850,2009,70662,398,44,8,18277.47799,,3019
10989,2007,99332,80,10,8,11682.15123,,3019
26752,2015,26715,497,5,8,31677.28842,,3019
9900,2007,98089,334,9,8,11887.49139,,3019
5400,2006,133972,360,1,8,5056.97619,,3019
7995,2008,113447,297,1,8,10437.24375,,3019
19995,2010,72902,163,5,8,19060.07123,,3019
15900,2011,93723,506,19,8,16650.70967,,3019
13990,2011,61103,417,14,8,21971.09736,,3019
13880,2011,54575,111,19,8,23016.52122,,3019
5995,2008,131709,21,19,8,7409.76847,,3019
40998,2015,24518,323,2,8,32044.19213,,3019
19966,2011,61570,185,10,8,21908.02842,,3019
27900,2013,18096,167,12,8,31013.57195,,3019
42900,2018,2261,428,1,8,38730.67596,,3019
30900,2016,4649,181,10,8,36270.68909,,3019
17999,2009,75011,206,9,8,17682.89936,,3019
44000,2017,4784,1019,9,8,37273.31463,,3019
37995,2017,6715,43,1,8,36985.05573,,3019
28790,2014,48933,572,28,8,26969.08537,,3019
30995,2014,45468,145,4,8,27609.74149,,3019
25994,2015,76657,58,9,8,23543.40745,,3019
24690,2014,46425,664,1,8,27463.77687,,3019
26842,2014,26532,87,19,8,30640.64255,,3019
37995,2014,21250,442,10,8,31528.49869,,3019
34989,2014,22690,63,19,8,31265.38578,,3019
21495,2015,57019,287,19,8,26704.54669,,3019
24995,2015,52260,21,14,8,27494.489,,3019
24680,2014,36737,167,5,8,29026.26207,,3019
27997,2014,39863,22,3,8,28524.38149,,3019
29750,2015,22800,1141,3,8,32320.3368,,3019
34000,2014,30674,285,3,8,30018.59428,,3019
37995,2014,29899,352,15,8,30106.00793,,3019
25000,2014,43731,301,5,8,27888.97572,,3019
23750,2015,23569,329,11,8,32169.55178,,3019
17750,2012,59175,521,28,8,23260.92469,,3019
26500,2015,26014,638,16,8,31755.88637,,3019
23995,2014,39266,62,38,8,28508.85168,,3019
19394,2014,55233,443,1,8,26031.51805,,3019
28997,2015,24057,166,9,8,32096.63336,,3019
24277,2014,34111,1288,10,8,29437.18618,,3019
14995,2013,71345,319,18,8,22335.50879,,3019
32995,2014,23000,1854,14,8,31231.06379,,3019
15295,2013,68999,395,2,8,22768.46679,,3019
41999,2016,44695,368,9,8,29762.07214,,3019
37266,2014,52742,338,9,8,26410.8379,,3019
37761,2017,5870,263,19,8,37064.5479,,3019
22500,2014,76454,325,14,8,22538.96992,,3019
28551,2015,16872,525,28,8,33203.84833,,3019
7950,2005,72815,28,6,8,13964.19896,,3019
14900,2009,70559,308,5,8,18419.7034,,3019
29400,2013,41150,64,17,8,27248.70059,,3019
21500,2015,41526,82,9,8,29256.01923,,3019
43995,2014,41715,283,11,8,28197.49107,,3019
36000,2016,19730,23,9,8,33821.60226,,3019
38652,2015,45200,179,17,8,28632.85548,,3019
27913,2015,33074,297,22,8,30588.56373,,3019
19791,2012,64923,1815,14,8,22371.2919,,3019
57991,2017,14090,254,11,8,35753.6419,,3019
31975,2016,7349,255,28,8,35773.73286,,3019
21816,2011,45276,205,21,8,24522.18629,,3019
24900,2013,96026,341,17,8,18325.37693,,3019
13480,2011,49578,30,29,8,23796.90417,,3019
54995,2006,31448,172,5,8,21715.41729,,3019
31500,2017,3017,309,10,8,37557.42713,,3019
17991,2016,23537,53,21,8,33163.94213,,3019
15989,2014,19408,198,19,8,31799.06805,,3019
16499,2014,48075,146,1,8,27195.47225,,3019
17422,2014,30245,541,9,8,30069.04937,,3019
23999,2017,7242,227,9,8,36873.62206,,3019
16540,2016,14924,313,9,8,34603.10043,,3019
17995,2016,23526,36,17,8,33178.60023,,3019
21500,2017,256,56,38,8,37916.30435,,3019
25800,2017,6027,111,19,8,37039.01831,,3019
3755,2001,191605,61,2,8,-9424.679339,,3019
13000,2012,68212,23,2,8,21875.07958,,3019
22500,2011,66043,136,22,8,21142.07079,,3019
40751,2016,10722,106,18,8,35257.42669,,3019
23882,2014,41658,388,17,8,28187.45567,,3019
41985,2017,3485,25,9,8,37484.54353,,3019
38988,2017,14422,181,1,8,35731.82927,,3019
32000,2014,29490,83,10,8,30188.60171,,3019
61990,2018,179,192,9,8,39043.48879,,3019
33898,2014,48813,511,5,8,27062.59751,,3019
18995,2011,103705,341,22,8,15017.896,,3019
35495,2016,36976,380,16,8,30994.72845,,3019
41975,2018,5,268,1,8,39097.52155,,3019
23377,2014,41502,315,6,8,28248.21352,,3019
34999,2017,7228,290,15,8,36856.59447,,3019
24000,2014,43265,362,3,8,27971.18615,,3019
33508,2016,19909,1992,5,8,33805.36468,,3019
14329,2008,63241,98,17,8,18549.70643,,3019
12691,2012,128188,320,5,8,12112.79869,,3019
15989,2012,83661,266,32,8,19266.4148,,3019
30997,2015,39594,202,38,8,29476.87636,,3019
33995,2015,35163,91,15,8,30271.39528,,3019
30000,2014,25725,439,2,8,30826.56287,,3019
34198,2016,56392,595,17,8,27834.29752,,3019
30887,2015,53460,315,29,8,27251.0981,,3019
33257,2015,9148,443,18,8,34492.01266,,3019
8688,2006,48756,297,5,8,18900.98319,,3019
14685,2009,102944,954,27,8,13082.83383,,3019
11975,2009,88511,77,5,8,15500.54919,,3019
7200,2007,88777,1374,19,8,13369.53156,,3019
16000,2016,35377,316,5,8,31290.13088,,3019
13994,2013,65972,1405,9,8,23238.16234,,3019
16995,2015,36318,437,15,8,30083.58205,,3019
6987,2007,58959,1831,5,8,18263.24539,,3019
10500,2009,59235,25,5,8,20261.0861,,3019
17500,2014,69351,428,1,8,23735.8062,,3019
8788,2011,149031,299,9,8,7689.312487,,3019
14750,2013,52402,296,19,8,25412.59103,,3019
17800,2014,40994,331,9,8,28321.16676,,3019
17211,2014,25550,420,10,8,30829.28061,,3019
16738,2014,44714,50,17,8,27690.523,,3019
17655,2015,13443,813,9,8,33822.56377,,3019
28900,2015,8917,91,19,8,34526.35795,,3019
29688,2015,22189,329,28,8,32339.25703,,3019
22786,2015,42203,67,5,8,29158.80244,,3019
14995,2012,86010,22,1,8,18984.18448,,3019
13990,2011,67355,59,38,8,20877.27519,,3017
23395,2014,27737,94,9,8,30476.89723,,3017
35662,2016,24448,113,1,8,33080.17732,,3017
14611,2012,70271,38,13,8,21504.90192,,3017
33991,2017,5044,601,22,8,37189.2356,,3017
46400,2015,26456,295,29,8,31642.21253,,3017
26400,2017,3167,617,28,8,37475.14832,,3017
23995,2014,38633,398,9,8,28705.11111,,3017
12900,2009,119751,167,29,8,10343.46931,,3016
24995,2014,43141,320,9,8,27972.09522,,3015
22895,2014,50398,435,1,8,26817.78155,,3015
15333,2011,61873,297,1,8,21887.7762,,3014
31700,2013,83911,577,28,8,20260.05447,,3014
45280,2017,3994,434,21,8,37363.22951,,3014
33700,2014,47334,180,3,8,27309.59281,,3014
27995,2014,32571,335,5,8,29703.75267,,3014
25777,2014,25057,36,16,8,30890.20476,,3014
25350,2013,24077,136,19,8,30018.54901,,3014
17999,2012,50425,416,20,8,24709.55311,,3014
35396,2013,54744,572,26,8,25009.30172,,3014
16321,2011,79426,405,28,8,18946.63444,,3014
19439,2012,76642,70,28,8,20420.69788,,3014
37991,2017,9947,104,27,8,36375.91487,,3014
7700,2007,140812,29,38,8,4847.112088,,3014
24995,2015,22315,144,1,8,32405.6989,,3014
34495,2017,11195,395,35,8,36147.24021,,3014
35995,2015,24957,1213,9,8,31950.34749,,3014
21566,2012,51683,248,1,8,24566.12083,,3014
15995,2008,114573,296,42,8,10122.29687,,3014
25150,2015,28032,136,10,8,31447.1079,,3014
10995,2008,72264,295,9,8,17108.28762,,3014
19995,2014,54584,201,5,8,26124.25631,,3013
21758,2015,35709,176,28,8,30140.8598,,3013
89000,2016,9680,32,5,8,35468.77762,,3012
18790,2015,18702,2049,19,8,32935.31722,,3012
21988,2006,57459,324,38,8,17379.71265,,3012
12997,2008,70547,438,22,8,17345.6863,,3012
7490,2007,121700,371,19,8,8016.047084,,3012
12495,2011,73606,217,16,8,19931.65104,,3012
9996,2011,99244,355,3,8,15804.51072,,3012
25998,2016,23552,326,19,8,33168.02464,,3012
34900,2016,9331,429,19,8,35480.4852,,3012
24000,2016,26612,254,9,8,32702.61504,,3012
41998,2016,12445,26,16,8,34983.77327,,3012
26988,2014,21889,304,1,8,31453.63473,,3012
24995,2014,34881,137,5,8,29328.15105,,3012
22950,2011,38396,758,4,8,25695.71713,,3012
23995,2011,47257,159,42,8,24132.5807,,3012
29900,2014,30937,53,9,8,29956.61098,,3012
17680,2015,51646,399,17,8,27584.76572,,3012
34000,2014,63009,366,6,8,24751.07175,,3012
31750,2014,73295,271,16,8,23046.30353,,3012
33999,2014,31173,135,9,8,29918.23529,,3012
34990,2016,21322,285,6,8,33572.46795,,3012
18995,2014,39660,223,19,8,28506.0004,,3012
21999,2013,92630,190,22,8,18861.59679,,3012
15999,2012,102629,371,3,8,16275.44012,,3012
29990,2015,25071,422,9,8,31931.83492,,3012
16970,2011,63991,390,35,8,21434.00554,,3012
10995,2007,83601,53,5,8,14256.32486,,3012
35888,2015,32499,202,5,8,30736.84573,,3012
10995,2008,128256,245,9,8,8003.517304,,3012
10995,2012,76739,287,9,8,20466.07933,,3012
19207,2017,22451,23,15,8,34381.28677,,3012
15575,2014,22251,331,9,8,31369.03152,,3012
14995,2008,42722,98,29,8,21847.7563,,3012
21977,2014,41485,113,21,8,28202.80454,,3012
18891,2014,35441,193,11,8,29217.78598,,3012
18657,2013,21786,53,19,8,30391.11074,,3012
17690,2014,25914,430,31,8,30702.61354,,3012
